Country,AgeClass,Population,Cases
Viet Nam,0-14,29180000,21
Viet Nam,15-39,31967459,1282
Viet Nam,40-44,6292329,1319
Viet Nam,45-49,5765012,2243
Viet Nam,50-54,5102671,2986
Viet Nam,55-59,4005732,3312
Viet Nam,60-64,2577193,2667
Viet Nam,65-69,1654129,2038
Viet Nam,70-74,1388447,2031
Viet Nam,75+,2399292,3966
Singapore,0-14,874409,0
Singapore,15-39,1880889,14
Singapore,40-44,445588,33
Singapore,45-49,453066,69
Singapore,50-54,451878,122
Singapore,55-59,379936,187
Singapore,60-64,292004,274
Singapore,65-69,193908,307
Singapore,70-74,130149,313
Singapore,75+,198266,655
UK,0-14,11427668,3
UK,15-39,20700000,207
UK,40-44,4519231,235
UK,45-49,4652439,763
UK,50-54,4201613,1563
UK,55-59,3637701,2721
UK,60-64,3685606,4865
UK,65-69,3219090,6509
UK,70-74,2516451,6807
UK,75+,5013201,16709
Austria,0-14,1238885,0
Austria,15-39,2666667,24
Austria,40-44,666667,58
Austria,45-49,716000,179
Austria,50-54,647166,354
Austria,55-59,528455,520
Austria,60-64,463989,670
Austria,65-69,449374,790
Austria,70-74,383090,734
Austria,75+,694707,1247
Georgia,0-14,542300,0
Georgia,15-39,1562500,25
Georgia,40-44,268293,33
Georgia,45-49,311203,75
Georgia,50-54,325582,126
Georgia,55-59,280977,161
Georgia,60-64,226207,164
Georgia,65-69,152253,125
Georgia,70-74,175812,157
Georgia,75+,292873,263
China,0-14,237592696,64
China,15-39,539714286,7556
China,40-44,125000000,15875
China,45-49,105912409,29020
China,50-54,83580392,42626
China,55-59,81406143,71556
China,60-64,64972018,88232
China,65-69,42272982,75415
China,70-74,31373572,82387
China,75+,43561502,240111
Philippines,0-14,33887069,13
Philippines,15-39,39363636,433
Philippines,40-44,5180556,373
Philippines,45-49,4569832,818
Philippines,50-54,3881720,1444
Philippines,55-59,3229560,2054
Philippines,60-64,2261364,2189
Philippines,65-69,1495025,1803
Philippines,70-74,1040149,1399
Philippines,75+,1108089,1548
Ethiopia,0-14,45480134,0
Ethiopia,15-39,30666667,92
Ethiopia,40-44,3750000,75
Ethiopia,45-49,3139535,135
Ethiopia,50-54,2504587,273
Ethiopia,55-59,2019867,305
Ethiopia,60-64,1649123,282
Ethiopia,65-69,1258741,180
Ethiopia,70-74,853659,105
Ethiopia,75+,868687,86
