"rank","athlete","country","hurdles","hj","sp","run200","lj","jt","run800"
1,"Nafissatou Thiam","BEL",13.56,1.98,14.91,25.1,6.58,53.13,136.54
2,"Jessica Ennis-Hill","GBR",12.84,1.89,13.86,23.49,6.34,46.06,129.07
3,"Brianne Theisen Eaton","CAN",13.18,1.86,13.45,24.18,6.48,47.36,129.5
4,"Laura Ikauniece-Admidina","LAT",13.33,1.77,13.52,23.76,6.12,55.93,129.43
5,"Carolin Schafer","GER",13.12,1.83,14.57,23.99,6.2,47.99,136.52
6,"Katarina Johnson-Thompson","GBR",13.48,1.98,11.68,23.26,6.51,36.36,130.47
7,"Yorgelis Rodriguez","CUB",13.61,1.86,13.69,24.26,6.25,48.89,134.65
8,"Gyorgyi Zsivoczky-Farkas","HUN",13.79,1.86,14.39,25.38,6.31,48.07,131.76
9,"Jennifer Oeser","GER",13.69,1.86,14.28,24.99,6.19,47.22,133.82
10,"Anouk Vetter","NED",13.47,1.77,14.78,23.93,6.1,48.42,137.71
11,"Antoinette Nana Djimou Ida","FRA",13.37,1.77,14.88,25.07,6.43,48.76,140.36
12,"Barbara Nwaba","USA",13.81,1.83,14.81,24.77,5.81,46.85,131.61
13,"Nadine Broersen","NED",13.56,1.77,14.04,24.94,6.15,50.8,137.55
14,"Claudia Rath","GER",13.63,1.74,12.83,24.48,6.55,39.39,127.22
15,"Evelis Aguilar","COL",13.84,1.74,13.6,24.12,6.23,46.9,134.32
16,"Xenia Krizsan","HUN",13.66,1.77,13.78,25.24,6.08,49.78,133.46
17,"Kendell Williams","USA",13.04,1.83,11.21,24.09,6.31,40.93,136.24
18,"Heather Miller-Koch","USA",13.56,1.8,12.91,24.97,6.16,40.25,126.82
19,"Nadine Visser","NED",13.02,1.68,12.84,24.34,6.35,42.48,134.47
20,"Akela Jones","BAR",13,1.89,14.09,24.35,6.3,42,161.12
21,"Ivona Dadic","AUT",13.84,1.77,13.43,24.6,6.05,46.08,135.64
22,"Eliska Klucinova","CZE",14.07,1.8,14.41,25.37,6.08,46.73,142.81
23,"Vanessa Chefer","BRA",14.24,1.68,13.06,24.11,6.1,45.05,134.2
24,"Katerina Cachova","CZE",13.19,1.77,12.38,24.32,5.91,37.77,138.95
25,"Hanna Kasyanova","UKR",13.66,1.77,13.25,24.6,5.88,38.1,136.58
26,"Alysbeth Felix","PUR",14.07,1.68,11.36,24.74,6.22,40.17,135.32
27,"Sofia Yfantidou","GRE",13.99,1.65,12.97,26.32,5.51,54.57,150.08
28,"Alina Fodorova","UKR",14.1,1.8,14.38,25.4,6,35.44,NA
29,"Uhunoma Osazuwa","NGR",13.75,1.77,13.15,24.67,5.72,33.42,NA
30,"Ekaterina Voronina","UZB",15.21,1.65,NA,NA,NA,NA,NA
