country,unsafe_pct,ineffective_pct
Afghanistan,4.470985575,1.831128534
Albania,15.84816122,8.965412329
Algeria,11.27569803,7.702427731
Argentina,4.845372479,2.94700941
Armenia,20.57026165,12.46881996
Australia,6.906214946,4.085789756
Austria,21.05363097,11.29640511
Azerbaijan,11.22187567,8.419121388
Bangladesh,0.908196083,0.44854416
Belarus,14.77494701,9.833909612
Belgium,20.63709549,5.335010636
Benin,14.01966423,6.608683731
Bolivia,13.10435207,8.654473793
Bosnia and Herzegovina,8.300703246,6.200150659
Botswana,9.001017043,4.075795082
Brazil,9.042356185,6.681065927
Bulgaria,15.61304414,6.439258374
Burkina Faso,20.75256443,8.622097794
Burundi,6.529531228,3.48685783
Cambodia,7.541631375,2.041912161
Cameroon,13.10581138,9.54639879
Canada,8.322632874,5.802206573
Chad,10.0500689,7.10284335
Chile,11.37743281,6.457683704
China,8.290823545,2.833015078
Colombia,10.70378513,7.951823432
Comoros,7.505970773,2.558275957
Congo,17.50763411,3.431957516
Costa Rica,5.810229365,5.342327278
Cote d'Ivoire,16.35067072,7.825140704
Croatia,6.794648185,3.972600637
Cyprus,9.859631777,6.188590336
Czech Republic,6.603516208,3.086702344
Denmark,8.979714929,4.085631741
Dominican Republic,4.905058752,2.761394869
Ecuador,5.392728845,5.772119139
Egypt,0.588238907,0.599805509
El Salvador,11.38611622,8.155796274
Estonia,13.48992364,6.580439926
Ethiopia,2.54309192,1.943768403
Finland,7.991680632,4.230976916
France,33.29384552,18.27989793
Gabon,25.85800036,11.6396426
Gambia,4.782896295,5.213783925
Georgia,9.573974821,5.148996766
Germany,12.87886921,3.21214016
Ghana,3.492985667,5.966645583
Greece,3.587050176,2.464642189
Guatemala,7.285190797,7.372393618
Guinea,14.05135618,7.321238014
Haiti,20.39307286,10.22286769
Honduras,5.889666745,4.654412512
Hungary,2.632851949,1.346355494
Iceland,21.26700693,1.201608509
India,1.995294987,1.797547144
Indonesia,5.737725649,11.5503756
Iran,9.154814714,2.58893329
Iraq,4.446227372,3.872680777
Ireland,9.355552291,4.325992719
Israel,4.820923171,2.141531672
Italy,13.71469477,5.635365621
Japan,8.347281956,3.294160814
Jordan,3.153373732,2.337959256
Kazakhstan,10.3336845,4.869170903
Kenya,5.300983921,7.69289343
Kosovo,5.418528202,5.399058676
Kuwait,4.097016132,3.063248762
Kyrgyzstan,8.841450211,7.155838996
Laos,1.856595172,1.417665634
Latvia,17.0717777,9.832646135
Lebanon,3.348813152,1.108739994
Liberia,2.505175939,27.58857886
Libya,9.027480215,5.565545754
Lithuania,8.280441649,4.175315335
Luxembourg,12.3730704,6.910708635
Macedonia,13.51227687,9.0405649789999991
Madagascar,10.40111937,4.99719585
Malawi,3.840526239,1.670127549
Malaysia,2.804414366,4.095827392
Mali,17.1458224,4.690276192
Malta,6.252081044,5.231021171
Mauritania,9.6241817,5.227755681
Mauritius,17.02140053,5.42960616
Mexico,6.539340492,4.762752716
Moldova,10.74900774,7.265897063
Mongolia,15.97529209,5.249929689
Montenegro,13.43791788,7.032891017
Morocco,3.873115668,4.317192776
Mozambique,4.376628804,9.172431708
Myanmar,4.199570654,3.110229716
Namibia,11.16687438,15.70631506
Nepal,3.303721329,6.805773021
Netherlands,16.95792187,10.82331752
New Zealand,9.809272194,6.628885679
Nicaragua,2.770323364,3.758582133
Niger,7.241705941,3.445577981
Nigeria,4.9520462,15.96620222
Northern Cyprus,4.080252763,1.099801988
Norway,5.672668284,2.733297377
Pakistan,4.48254764,4.363841243
Palestine,2.984742974,2.905361767
Panama,5.074907607,5.632541832
Paraguay,7.960701128,8.33697707
Peru,17.46744447,15.37898786
Philippines,13.90519241,8.878665282
Poland,5.265834808,3.961528701
Portugal,5.142860342,8.31421332
Romania,12.88616864,6.003139346
Russia,23.61144764,11.99016161
Rwanda,1.638061847,0.647665643
Saudi Arabia,2.732971172,3.867741563
Senegal,14.74161457,9.406832361
Serbia,9.233046412,5.18177842
Sierra Leone,3.92525476,3.612389795
Singapore,3.045648006,2.87016643
Slovakia,6.388160352,2.391224857
Slovenia,12.28595453,7.953757815
South Africa,8.989362561,10.76211119
South Korea,7.88782279,2.447358564
Spain,7.039002198,5.863777118
Sri Lanka,7.046222648,3.529962207
Swaziland,10.09214205,8.097927945
Sweden,12.27445226,3.115958424
Switzerland,21.54384886,7.682226743
Taiwan,17.03331984,5.794453251
Tajikistan,0.892688266,0.781371864
Tanzania,2.29331399,4.26186043
Thailand,3.004244503,2.250121079
Togo,25.01030975,12.20086896
Tunisia,5.060910814,3.295920991
Turkey,5.890945262,3.575581689
Turkmenistan,4.851585638,5.319882647
Uganda,8.528302665,13.62793388
Ukraine,15.26527319,7.063743363
United Arab Emirates,4.379337596,3.396720601
United Kingdom,8.731762141,2.656245484
United States,11.08898779,5.789617551
Uruguay,10.75892578,6.837958322
Uzbekistan,3.322893256,1.130838963
Venezuela,4.056766995,2.490906241
Vietnam,8.115222817,3.569154881
Yemen,3.062775585,3.218073296
Zambia,10.27586541,8.151723478
Zimbabwe,3.765832379,1.851849998
